1;2;3;4;5;6;7;8;9;10;11;12
0.0;0.0;141.0;0.0;0.0;132.0;138.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;78.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;104.16;0.0;31.58;31.58;31.58;0.0;19.08;189.12;0.0
0.0;0.0;0.0;0.0;73.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;90.12;48.6;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;295.77;625.58;358.76;228.96;1023.2;703.1;903.54;439.97
0.0;0.0;0.0;0.0;86.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;120.56;0.0;29.04;0.0;0.0;19.08;0.0;231.36
0.0;0.0;0.0;0.0;0.0;57.18;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;94.32;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;63.58;31.79;0.0;15.89;15.89;15.89;31.79
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;42.75;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;60.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;640.8;660.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;66.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;66.0;0.0;0.0;0.0;0.0;66.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;179.54;0.0;240.33;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.16;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.9;203.64;304.4
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.08;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1849.48;0.0;799.8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.58;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;915.0;0.0
45.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9277.14;0.0;0.0
0.0;0.0;204.12;234.62;0.0;1648.63;0.0;3680.41;102.0;7972.59;2271.88;157.8
0.0;0.0;1892.57;0.0;128.88;2902.95;0.0;85.92;576.2;0.0;18906.19;666.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2119.96
0.0;0.0;0.0;0.0;0.0;6693.32;0.0;6765.6;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;219.6;0.0;0.0;0.0;219.6
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;219.6;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.8;0.0
0.0;143.6;107.7;143.6;0.0;167.29;0.0;143.6;274.99;138.67;215.4;223.41
0.0;0.0;59.68;14.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;119.73;0.0;160.48
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;115.63;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
170.16;212.28;302.81;343.72;248.53;300.14;209.61;286.77;272.41;307.48;452.78;218.13
71.9;107.43;280.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;71.54;107.31;107.31;107.31;107.31;107.3;35.77;128.68;126.0;171.11;116.65
0.0;98.27;109.35;19.87;98.27;0.0;118.14;0.0;0.0;129.22;0.0;112.43
92.76;159.43;82.74;95.15;74.33;86.74;0.0;85.41;84.07;92.48;168.14;41.23
211.95;56.26;135.72;202.4;0.0;135.72;142.22;131.84;0.0;182.06;102.97;266.47
0.0;81.18;0.0;68.98;68.98;81.18;68.98;68.98;81.18;81.18;68.98;68.98
83.89;46.27;86.02;39.75;46.27;46.27;152.16;46.27;137.62;46.27;39.75;227.48
39.0;104.4;133.28;79.97;79.97;159.94;79.97;0.0;172.35;79.97;92.38;79.97
0.0;52.45;177.38;24.66;70.28;145.64;56.92;0.0;145.64;85.15;149.49;71.17
0.0;0.0;173.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;65.36;0.0;66.14;69.75;0.0;46.27;128.83;173.91;151.61;69.77
0.0;96.13;171.4;29.25;164.35;176.01;63.18;0.0;0.0;0.0;0.0;0.0
144.0;147.6;221.4;147.6;147.6;147.6;73.8;0.0;224.07;73.8;73.8;73.8
0.0;0.0;81.4;81.4;0.0;81.4;81.4;68.99;81.4;81.4;0.0;0.0
