Cliente;Producto;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;Tot
60446 - LA ALEMANA 1904 S.L.;024000210000016 - GREVENSTEINER ORIGINAL 16X50CL ;0.0;132.8;132.8;0.0;132.8;0.0;0.0;0.0;132.8;0.0;132.8;0.0;664.0
60510 - TABERNA CELTA S.L.;070090002000001 - CUBITERAS IL VENEZIANO UNIDAD;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
60510 - TABERNA CELTA S.L.;097000100000012 - VILICUS COSECHA TINTO CAJA 12X75CL;0.0;29.43;58.86;0.0;58.86;88.29;58.86;29.43;58.86;29.43;0.0;0.0;412.02
60510 - TABERNA CELTA S.L.;097000202000006 - NUBE DE LEZA GARCIA CRIANZA CAJA 6X75CL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
60510 - TABERNA CELTA S.L.;138000001000012 - CASAMARO VERDEJO 12X75CL ;0.0;26.32;52.64;78.96;105.28;105.28;78.96;26.32;52.64;52.64;78.96;0.0;658.0
60510 - TABERNA CELTA S.L.;C94000002000001 - MONODOSIS DESCAFEINADO T. CAJA 100 UDS. de 7 grs;0.0;19.87;19.87;0.0;19.87;0.0;19.87;19.87;19.87;0.0;39.74;0.0;158.96
60510 - TABERNA CELTA S.L.;C94000018000006 - Cinco Estrellas 100% Natural CAJA 6 PAQUETES 1 KG;45.12;46.27;92.54;92.54;46.27;46.27;46.27;46.27;0.0;46.27;46.27;46.27;600.36
60510 - TABERNA CELTA S.L.;C94000021000001 - AZUCAR CAJA 1000 UDS.;10.8;11.08;11.08;0.0;11.08;11.08;0.0;0.0;11.08;0.0;11.08;0.0;77.28
60510 - TABERNA CELTA S.L.;C94000022000001 - EDULCORANTE TORRELSA PAQ. 150 SOBRES;0.0;0.0;0.0;0.0;0.0;0.0;2.67;2.67;0.0;0.0;0.0;0.0;5.34
60510 - TABERNA CELTA S.L.;C94000028000001 - SOLUBLE DESCAFEINADO TORRELSA PAQ. 100 SOBRES;0.0;0.0;0.0;7.81;0.0;0.0;0.0;0.0;0.0;0.0;7.81;0.0;15.62
60625 - CERVECERIA LOS JERONIMOS S.L.;014000001000006 - VERMOUTH LA COPA ROJO 6X75CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.79;0.0;180.24;214.03
60625 - CERVECERIA LOS JERONIMOS S.L.;024000030000001 - VELTINS PILS BARRIL 30 L. ;396.62;1241.03;2499.11;1725.58;3272.65;1904.09;2201.61;714.04;2023.09;2023.09;2320.6;1249.55;21571.06
60625 - CERVECERIA LOS JERONIMOS S.L.;024000118000024 - VELTINS PILS 6x4x33 CL ;0.0;0.0;0.0;0.0;0.0;96.8;0.0;0.0;0.0;0.0;0.0;0.0;96.8
60625 - CERVECERIA LOS JERONIMOS S.L.;024000124000024 - VELTINS SIN ALCOHOL 0.0% 24X33CL ;0.0;0.0;107.51;69.76;142.39;104.64;104.64;34.88;34.88;0.0;0.0;0.0;598.7
60625 - CERVECERIA LOS JERONIMOS S.L.;024000204000020 - GREVENSTEINER ORIGINAL 20X33CL ;0.0;0.0;75.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;75.2
60625 - CERVECERIA LOS JERONIMOS S.L.;024000232000024 - VELTINS S/ALCOHOL RET. 24X33CL ;0.0;59.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.52
60625 - CERVECERIA LOS JERONIMOS S.L.;024000343000020 - GREVENSTEINER ORIG.RET.20X33CL ;0.0;0.0;16.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.6
60625 - CERVECERIA LOS JERONIMOS S.L.;073000007000001 - PRIOS MAXIMOS VERDEJO BOT. 75CL;0.0;92.0;138.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;230.0
60625 - CERVECERIA LOS JERONIMOS S.L.;073000007000012 - PRIOS MAXIMOS VERDEJO CAJA 12X75CL;0.0;0.0;176.64;88.32;264.96;88.32;176.64;0.0;220.8;132.48;264.96;176.64;1589.76
60625 - CERVECERIA LOS JERONIMOS S.L.;094000029000024 - GATAO BCO LATA 24X 250 ML ;0.0;0.0;0.0;0.0;28.59;28.59;0.0;0.0;0.0;0.0;0.0;0.0;57.18
60625 - CERVECERIA LOS JERONIMOS S.L.;133000002000006 - PAZO AS BARREIRAS ALBARIï¿½O  6X75CL;0.0;0.0;0.0;0.0;0.0;50.98;25.49;0.0;50.98;76.46;187.2;124.8;515.91
60625 - CERVECERIA LOS JERONIMOS S.L.;133000003000006 - PAZO AS BARREIRAS RIBEIRO 6X75CL;0.0;0.0;0.0;0.0;0.0;48.48;24.24;0.0;48.48;24.24;24.24;48.48;218.16
60637 - VAQUERIA 1926-1995 S.L.;024000030000001 - VELTINS PILS BARRIL 30 L. ;628.21;585.43;1379.45;959.62;1079.56;1319.47;959.61;779.69;1019.58;1199.52;1199.52;1199.51;12309.17
60637 - VAQUERIA 1926-1995 S.L.;024000124000024 - VELTINS SIN ALCOHOL 0.0% 24X33CL ;0.0;0.0;34.88;69.76;104.64;104.64;69.76;87.2;104.64;122.08;87.2;52.32;837.12
